Gene_name	Intron_coord	distance_from_start
KLHL17	chr1:962917-963032	2244
KLHL17	chr1:964530-964935	2745
KLHL17	chr1:964167-964349	2439
ISG15	chr1:1013769-1013984	159
AGRN	chr1:1051645-1051742	6546
AGRN	chr1:1051815-1053725	6660
PUSL1	chr1:1309603-1309706	747
ATAD3B	chr1:1489274-1489692	3000
ATAD3B	chr1:1489811-1490257	2889
ATAD3A	chr1:1518990-1519492	1032
ATAD3A	chr1:1527809-1529223	3141
ATAD3A	chr1:1512690-1516012	507
MIB2	chr1:1623482-1623774	243
MIB2	chr1:1624901-1624965	630
MIB2	chr1:1625653-1626367	1455
TNFRSF14	chr1:2556997-2557726	117
TNFRSF14	chr1:2558468-2559528	546
TP73	chr1:3722207-3723359	1146
DFFB	chr1:3858844-3865643	465
DFFB	chr1:3858866-3865812	462
DFFB	chr1:3866398-3867974	930
DFFB	chr1:3858844-3865762	357
DFFB	chr1:3873137-3883507	1305
RNF207	chr1:6212903-6213066	2973
RNF207	chr1:6211118-6211923	2076
ZBTB48	chr1:6582223-6585919	1644
ZBTB48	chr1:6588196-6588282	2913
ZBTB48	chr1:6587291-6587515	3018
ZBTB48	chr1:6588201-6588278	3066
ZBTB48	chr1:6586030-6586595	1917
THAP3	chr1:6628691-6629643	558
THAP3	chr1:6625292-6627763	195
CAMTA1	chr1:6825210-6828314	45
CAMTA1	chr1:6807088-6820181	72
PER3	chr1:7787246-7788045	438
PARK7	chr1:7965425-7969085	594
PARK7	chr1:7971000-7977652	918
TMEM201	chr1:9611340-9611753	2715
TMEM201	chr1:9611073-9611753	2715
TMEM201	chr1:9610805-9611015	2880
PIK3CD	chr1:9716241-9716440	1047
PIK3CD	chr1:9716619-9716970	1635
PIK3CD	chr1:9717108-9717457	2295
PIK3CD	chr1:9724405-9724804	6687
PIK3CD	chr1:9718158-9718694	2382
UBE4B	chr1:10179167-10179416	6627
UBE4B	chr1:10161286-10166244	9
KIF1B	chr1:10282533-10287292	63
KIF1B	chr1:10272306-10274915	2091
KIF1B	chr1:10344917-10345845	5598
PGD	chr1:10417117-10417356	2118
PGD	chr1:10399704-10400376	198
CENPS-CORT	chr1:10431401-10433842	336
CENPS	chr1:10431401-10433842	336
TARDBP	chr1:11013965-11016123	243
TARDBP	chr1:11017007-11018374	666
TARDBP	chr1:11022715-11023193	2193
TARDBP	chr1:11016254-11016844	417
TARDBP	chr1:11022177-11023156	2262
AGTRAP	chr1:11745837-11745988	219
AGTRAP	chr1:11745837-11745930	129
CLCN6	chr1:11837156-11837377	3951
CLCN6	chr1:11822934-11823707	1221
CLCN6	chr1:11826214-11827115	1830
CLCN6	chr1:11826224-11827089	2004
CLCN6	chr1:11833638-11833887	2913
PLOD1	chr1:11952735-11954574	807
PLOD1	chr1:11960729-11963532	2370
PLOD1	chr1:11957014-11957090	1128
MFN2	chr1:12007295-12009592	3600
MFN2	chr1:11989343-11992279	183
TNFRSF8	chr1:12063995-12084464	75
TNFRSF8	chr1:12064276-12084464	75
TNFRSF1B	chr1:12194025-12194584	1104
DNAJC16	chr1:15564359-15565182	3318
DNAJC16	chr1:15566410-15567099	3339
DNAJC16	chr1:15565453-15565919	9
DNAJC16	chr1:15560329-15562142	2154
DNAJC16	chr1:15566299-15567099	3339
DDI2	chr1:15633879-15643522	75
DDI2	chr1:15651895-15656421	1557
DDI2	chr1:15633565-15643522	75
DDI2	chr1:15633565-15633798	75
PLEKHM2	chr1:15720487-15721329	843
PLEKHM2	chr1:15731257-15731950	2922
PLEKHM2	chr1:15728313-15728669	2148
SZRD1	chr1:16367308-16390550	123
SZRD1	chr1:16367308-16387055	66
SZRD1	chr1:16368015-16391375	216
NECAP2	chr1:16443732-16449093	129
NECAP2	chr1:16448141-16448249	639
NECAP2	chr1:16447942-16448060	309
MRTO4	chr1:19252248-19254782	93
SLC66A1	chr1:19324762-19325526	435
MICOS10	chr1:19597853-19622100	345
MICOS10	chr1:19597678-19622100	345
OTUD3	chr1:19882720-19890385	441
ENSG00000289694	chr1:22078881-22081722	132
ENSG00000289694	chr1:22086866-22091396	1053
ENSG00000289694	chr1:22086866-22091432	1017
CDC42	chr1:22078583-22078706	231
KDM1A	chr1:23082509-23083179	3084
RPL11	chr1:23692060-23692609	135
RPL11	chr1:23692759-23693811	261
ELOA	chr1:23744270-23749021	132
PITHD1	chr1:23786423-23787258	879
SRRM1	chr1:24647149-24648859	405
SRRM1	chr1:24653032-24654306	1875
SRRM1	chr1:24643732-24645984	90
MACO1	chr1:25489293-25491346	1215
MACO1	chr1:25458892-25484127	1305
LDLRAP1	chr1:25554020-25554860	192
CEP85	chr1:26274612-26274964	12
CEP85	chr1:26269364-26269460	2823
CEP85	chr1:26272071-26274534	3681
SH3BGRL3	chr1:26280932-26281029	564
SH3BGRL3	chr1:26280922-26281058	309
CD52	chr1:26318640-26320171	159
CD52	chr1:26319007-26320171	159
DHDDS	chr1:26438284-26442335	465
DHDDS	chr1:26438284-26441599	429
DHDDS	chr1:26438284-26442708	465
DHDDS	chr1:26433008-26438172	156
DHDDS	chr1:26447660-26453481	180
HMGN2	chr1:26472627-26473460	90
HMGN2	chr1:26473817-26474085	183
RPS6KA1	chr1:26551723-26552818	1053
RPS6KA1	chr1:26544074-26546867	105
RPS6KA1	chr1:26555625-26556076	1626
RPS6KA1	chr1:26556163-26556654	1830
RPS6KA1	chr1:26530902-26536925	279
RPS6KA1	chr1:26551723-26552507	1056
ARID1A	chr1:26773898-26774116	18
ARID1A	chr1:26775956-26779023	6183
ARID1A	chr1:26772987-26773376	18
ARID1A	chr1:26775707-26775817	51
ARID1A	chr1:26773898-26775577	18
ARID1A	chr1:26774203-26774329	5064
ARID1A	chr1:26773717-26773802	18
PIGV	chr1:26794206-26794803	303
NUDC	chr1:26922492-26924089	159
WDTC1	chr1:27303795-27305059	2259
TMEM222	chr1:27334281-27334667	750
TMEM222	chr1:27331137-27332070	222
TMEM222	chr1:27334754-27335379	729
THEMIS2	chr1:27880054-27882513	657
THEMIS2	chr1:27876733-27879644	525
THEMIS2	chr1:27876728-27879949	321
THEMIS2	chr1:27872640-27876588	192
SESN2	chr1:28271871-28272318	1113
PHACTR4	chr1:28457859-28459085	192
PHACTR4	chr1:28439361-28457832	54
PHACTR4	chr1:28489894-28490951	1848
RCC1	chr1:28535380-28535610	1239
RCC1	chr1:28536879-28537832	1686
RCC1	chr1:28535656-28535871	1434
TRNAU1AP	chr1:28553311-28553640	99
TRNAU1AP	chr1:28553307-28553640	99
TRNAU1AP	chr1:28561260-28561346	270
TRNAU1AP	chr1:28560732-28561113	399
TRNAU1AP	chr1:28560732-28560868	411
YTHDF2	chr1:28737797-28738259	237
EPB41	chr1:29031913-29033093	30
EPB41	chr1:29035283-29035826	30
EPB41	chr1:29065158-29065684	30
EPB41	chr1:29065825-29068733	5631
EPB41	chr1:29033245-29035006	3714
EPB41	chr1:28987905-28989356	18
SERINC2	chr1:31427351-31428978	1119
KHDRBS1	chr1:32038119-32038552	1905
TMEM39B	chr1:32073872-32074951	216
TMEM39B	chr1:32076846-32077243	1017
TMEM39B	chr1:32095762-32100442	1986
TMEM39B	chr1:32075822-32076564	618
TMEM39B	chr1:32075077-32075667	207
TMEM39B	chr1:32073098-32074951	207
TMEM39B	chr1:32075822-32076132	624
TMEM39B	chr1:32076254-32076763	438
KPNA6	chr1:32159531-32160619	1266
KPNA6	chr1:32108134-32154590	51
KPNA6	chr1:32157038-32157346	417
TXLNA	chr1:32188124-32190059	1173
CCDC28B	chr1:32204045-32204233	390
EIF3I	chr1:32226320-32228499	525
EIF3I	chr1:32224475-32226105	393
EIF3I	chr1:32226283-32226403	597
EIF3I	chr1:32224475-32226149	426
EIF3I	chr1:32229024-32229135	1227
LCK	chr1:32276047-32276337	885
LCK	chr1:32274818-32275321	324
LCK	chr1:32275672-32275949	624
HDAC1	chr1:32327458-32327536	648
HDAC1	chr1:32324553-32326943	477
HDAC1	chr1:32327077-32327406	732
RBBP4	chr1:32651654-32651914	87
RBBP4	chr1:32652061-32668225	189
RBBP4	chr1:32651715-32651914	87
