Gene_name	Intron_coord	PTC_position	Exon_length
KLHL17	chr1:962917-963032	117	168
KLHL17	chr1:964167-964349	177	183
AGRN	chr1:1051645-1051742	42	75
AGRN	chr1:1051815-1053725	195	255
PUSL1	chr1:1309603-1309706	150	165
ATAD3B	chr1:1489274-1489692	618	735
ATAD3B	chr1:1489811-1490257	531	606
ATAD3A	chr1:1518990-1519492	795	816
ATAD3A	chr1:1527809-1529223	84	108
ATAD3A	chr1:1519571-1520141	285	651
MIB2	chr1:1623482-1623774	96	108
MIB2	chr1:1624901-1624965	117	222
MIB2	chr1:1625653-1626367	300	387
TNFRSF14	chr1:2556997-2557726	216	333
TNFRSF14	chr1:2558468-2559528	276	450
TP73	chr1:3722207-3723359	69	111
DFFB	chr1:3858844-3865643	246	357
DFFB	chr1:3858866-3865812	102	189
DFFB	chr1:3866398-3867974	12	588
DFFB	chr1:3858844-3865762	237	240
DFFB	chr1:3873137-3883507	561	666
KCNAB2	chr1:6095624-6095939	744	816
KCNAB2	chr1:6090475-6090730	501	579
KCNAB2	chr1:6040645-6041168	666	705
KCNAB2	chr1:6094962-6095323	351	564
KCNAB2	chr1:6072798-6073354	327	417
KCNAB2	chr1:6073384-6073733	54	630
KCNAB2	chr1:6096204-6096636	402	675
RNF207	chr1:6212903-6213066	144	222
RNF207	chr1:6211118-6211923	12	132
ZBTB48	chr1:6582223-6585919	12	111
ZBTB48	chr1:6588196-6588282	69	162
ZBTB48	chr1:6587291-6587515	69	165
ZBTB48	chr1:6588201-6588278	69	165
ZBTB48	chr1:6586030-6586595	123	192
THAP3	chr1:6628691-6629643	615	711
THAP3	chr1:6625292-6627763	807	930
CAMTA1	chr1:6825210-6828314	3	48
PER3	chr1:7787246-7788045	360	525
PARK7	chr1:7965425-7969085	198	318
PARK7	chr1:7971000-7977652	60	87
TMEM201	chr1:9611340-9611753	519	834
TMEM201	chr1:9611073-9611753	252	567
TMEM201	chr1:9610805-9611015	696	876
PIK3CD	chr1:9716241-9716440	36	180
PIK3CD	chr1:9716619-9716970	66	138
PIK3CD	chr1:9717108-9717457	147	168
PIK3CD	chr1:9718158-9718694	513	621
UBE4B	chr1:10179167-10179416	309	522
UBE4B	chr1:10161286-10166244	120	129
KIF1B	chr1:10282533-10287292	69	132
KIF1B	chr1:10272306-10274915	585	588
KIF1B	chr1:10344917-10345845	621	828
PGD	chr1:10417117-10417356	81	153
PGD	chr1:10399704-10400376	87	195
CENPS-CORT	chr1:10431401-10433842	546	882
CENPS	chr1:10431401-10433842	546	882
TARDBP	chr1:11013965-11016123	879	885
TARDBP	chr1:11017007-11018374	399	498
TARDBP	chr1:11022715-11023193	60	591
TARDBP	chr1:11016254-11016844	552	732
TARDBP	chr1:11022177-11023156	147	165
AGTRAP	chr1:11745837-11745988	105	237
AGTRAP	chr1:11745837-11745930	252	294
CLCN6	chr1:11837156-11837377	75	123
CLCN6	chr1:11822934-11823707	90	240
CLCN6	chr1:11826214-11827115	0	114
CLCN6	chr1:11826224-11827089	0	114
CLCN6	chr1:11833638-11833887	18	144
PLOD1	chr1:11952735-11954574	297	318
PLOD1	chr1:11960729-11963532	51	105
PLOD1	chr1:11957014-11957090	771	852
MFN2	chr1:12007295-12009592	42	243
MFN2	chr1:11989343-11992279	402	411
TNFRSF8	chr1:12063995-12084464	321	396
TNFRSF8	chr1:12064276-12084464	603	678
TNFRSF1B	chr1:12194025-12194584	144	207
DNAJC16	chr1:15564359-15565182	648	819
DNAJC16	chr1:15566410-15567099	219	330
DNAJC16	chr1:15565453-15565919	15	24
DNAJC16	chr1:15560329-15562142	669	804
DNAJC16	chr1:15566299-15567099	108	219
DDI2	chr1:15633879-15643522	60	135
DDI2	chr1:15633565-15643522	60	135
DDI2	chr1:15633565-15633798	60	135
PLEKHM2	chr1:15720487-15721329	525	753
PLEKHM2	chr1:15731257-15731950	63	99
PLEKHM2	chr1:15728313-15728669	15	66
SZRD1	chr1:16367308-16390550	852	873
SZRD1	chr1:16368015-16391375	540	756
NECAP2	chr1:16448141-16448249	693	954
NECAP2	chr1:16447942-16448060	39	84
MRTO4	chr1:19252248-19254782	318	411
SLC66A1	chr1:19324762-19325526	48	57
MICOS10	chr1:19597853-19622100	462	807
MICOS10	chr1:19597678-19622100	288	633
OTUD3	chr1:19882720-19890385	120	147
ENSG00000289694	chr1:22078881-22081722	270	402
CDC42	chr1:22078583-22078706	153	174
RPL11	chr1:23692060-23692609	102	237
RPL11	chr1:23692759-23693811	0	102
ELOA	chr1:23744270-23749021	633	765
SRRM1	chr1:24647149-24648859	321	483
SRRM1	chr1:24653032-24654306	759	825
SRRM1	chr1:24647208-24648859	378	540
MACO1	chr1:25489293-25491346	225	237
MACO1	chr1:25458892-25484127	141	150
LDLRAP1	chr1:25554020-25554860	108	114
MTFR1L	chr1:25823323-25823644	126	219
MTFR1L	chr1:25823128-25823238	234	510
MTFR1L	chr1:25823128-25823218	465	531
MTFR1L	chr1:25823128-25823346	234	402
CEP85	chr1:26274612-26274964	45	57
CEP85	chr1:26269364-26269460	522	882
CEP85	chr1:26272071-26274534	474	537
CD52	chr1:26318640-26320171	462	621
CD52	chr1:26319007-26320171	831	990
DHDDS	chr1:26438284-26442335	495	537
DHDDS	chr1:26438284-26441599	768	774
DHDDS	chr1:26438284-26442708	123	165
DHDDS	chr1:26433008-26438172	81	111
DHDDS	chr1:26447660-26453481	60	102
HMGN2	chr1:26472627-26473460	6	66
HMGN2	chr1:26473817-26474085	66	114
RPS6KA1	chr1:26551723-26552818	570	678
RPS6KA1	chr1:26544074-26546867	807	912
RPS6KA1	chr1:26555625-26556076	552	642
RPS6KA1	chr1:26556163-26556654	243	627
RPS6KA1	chr1:26530902-26536925	702	981
RPS6KA1	chr1:26551723-26552507	879	990
ARID1A	chr1:26773898-26774116	6	24
ARID1A	chr1:26775956-26779023	195	381
ARID1A	chr1:26772987-26773376	6	24
ARID1A	chr1:26775707-26775817	300	351
ARID1A	chr1:26773898-26775577	6	24
ARID1A	chr1:26774203-26774329	246	402
PIGV	chr1:26794206-26794803	378	432
NUDC	chr1:26943761-26945390	672	891
TMEM222	chr1:27331137-27332070	291	420
TMEM222	chr1:27334754-27335379	468	603
THEMIS2	chr1:27880054-27882513	519	531
THEMIS2	chr1:27876733-27879644	273	411
