Gene_name	Intron_coord	Exons_before	Exons_after
KLHL17	chr1:962917-963032	7.0	4.0
KLHL17	chr1:964167-964349	10.0	1.0
AGRN	chr1:1051645-1051742	32.0	3.0
AGRN	chr1:1051815-1053725	33.0	2.0
PUSL1	chr1:1309603-1309706	6.0	1.0
ATAD3B	chr1:1489274-1489692	13.0	2.0
ATAD3B	chr1:1489811-1490257	12.0	3.0
ATAD3A	chr1:1518990-1519492	5.0	10.0
ATAD3A	chr1:1527809-1529223	14.0	1.0
ATAD3A	chr1:1519571-1520141	4.0	11.0
MIB2	chr1:1623482-1623774	2.0	15.0
MIB2	chr1:1624901-1624965	3.0	14.0
MIB2	chr1:1625653-1626367	6.0	11.0
TNFRSF14	chr1:2556997-2557726	0.0	5.0
TNFRSF14	chr1:2558468-2559528	3.0	2.0
TP73	chr1:3722207-3723359	4.0	6.0
DFFB	chr1:3858844-3865643	2.0	4.0
DFFB	chr1:3858866-3865812	2.0	4.0
DFFB	chr1:3866398-3867974	2.0	4.0
DFFB	chr1:3858844-3865762	2.0	4.0
DFFB	chr1:3873137-3883507	5.0	1.0
KCNAB2	chr1:6095624-6095939	12.0	2.0
KCNAB2	chr1:6090475-6090730	9.0	6.0
KCNAB2	chr1:6040645-6041168	1.0	13.0
KCNAB2	chr1:6094962-6095323	9.0	5.0
KCNAB2	chr1:6072798-6073354	3.0	11.0
KCNAB2	chr1:6073384-6073733	2.0	12.0
KCNAB2	chr1:6096204-6096636	11.0	3.0
RNF207	chr1:6212903-6213066	13.0	3.0
RNF207	chr1:6211118-6211923	11.0	5.0
ZBTB48	chr1:6582223-6585919	2.0	7.0
ZBTB48	chr1:6588196-6588282	7.0	2.0
ZBTB48	chr1:6587291-6587515	7.0	2.0
ZBTB48	chr1:6588201-6588278	7.0	2.0
ZBTB48	chr1:6586030-6586595	3.0	6.0
THAP3	chr1:6628691-6629643	2.0	2.0
THAP3	chr1:6625292-6627763	1.0	3.0
CAMTA1	chr1:6825210-6828314	0.0	2.0
PER3	chr1:7787246-7788045	2.0	18.0
PARK7	chr1:7965425-7969085	2.0	3.0
PARK7	chr1:7971000-7977652	4.0	1.0
TMEM201	chr1:9611340-9611753	1.0	2.0
TMEM201	chr1:9611073-9611753	1.0	2.0
TMEM201	chr1:9610805-9611015	1.0	1.0
PIK3CD	chr1:9716241-9716440	3.0	18.0
PIK3CD	chr1:9716619-9716970	4.0	17.0
PIK3CD	chr1:9717108-9717457	5.0	16.0
PIK3CD	chr1:9718158-9718694	5.0	16.0
UBE4B	chr1:10179167-10179416	24.0	2.0
UBE4B	chr1:10161286-10166244	0.0	2.0
KIF1B	chr1:10282533-10287292	0.0	1.0
KIF1B	chr1:10272306-10274915	8.0	38.0
KIF1B	chr1:10344917-10345845	31.0	15.0
PGD	chr1:10417117-10417356	9.0	3.0
PGD	chr1:10399704-10400376	1.0	4.0
CENPS-CORT	chr1:10431401-10433842	0.0	4.0
CENPS	chr1:10431401-10433842	0.0	4.0
TARDBP	chr1:11013965-11016123	1.0	4.0
TARDBP	chr1:11017007-11018374	2.0	3.0
TARDBP	chr1:11022715-11023193	4.0	1.0
TARDBP	chr1:11016254-11016844	1.0	3.0
TARDBP	chr1:11022177-11023156	0.0	2.0
AGTRAP	chr1:11745837-11745988	2.0	2.0
AGTRAP	chr1:11745837-11745930	2.0	2.0
CLCN6	chr1:11837156-11837377	19.0	3.0
CLCN6	chr1:11822934-11823707	5.0	17.0
CLCN6	chr1:11826214-11827115	10.0	12.0
CLCN6	chr1:11826224-11827089	10.0	12.0
CLCN6	chr1:11833638-11833887	14.0	8.0
PLOD1	chr1:11952735-11954574	5.0	13.0
PLOD1	chr1:11960729-11963532	10.0	8.0
PLOD1	chr1:11957014-11957090	7.0	11.0
MFN2	chr1:12007295-12009592	14.0	2.0
MFN2	chr1:11989343-11992279	1.0	15.0
TNFRSF8	chr1:12063995-12084464	0.0	14.0
TNFRSF8	chr1:12064276-12084464	0.0	14.0
TNFRSF1B	chr1:12194025-12194584	8.0	1.0
DNAJC16	chr1:15564359-15565182	10.0	3.0
DNAJC16	chr1:15566410-15567099	11.0	2.0
DNAJC16	chr1:15565453-15565919	0.0	3.0
DNAJC16	chr1:15560329-15562142	6.0	7.0
DNAJC16	chr1:15566299-15567099	11.0	2.0
DDI2	chr1:15633879-15643522	0.0	2.0
DDI2	chr1:15633565-15643522	0.0	2.0
DDI2	chr1:15633565-15633798	0.0	2.0
PLEKHM2	chr1:15720487-15721329	5.0	14.0
PLEKHM2	chr1:15731257-15731950	16.0	3.0
PLEKHM2	chr1:15728313-15728669	11.0	8.0
SZRD1	chr1:16367308-16390550	1.0	2.0
SZRD1	chr1:16368015-16391375	0.0	3.0
NECAP2	chr1:16448141-16448249	4.0	3.0
NECAP2	chr1:16447942-16448060	3.0	4.0
MRTO4	chr1:19252248-19254782	0.0	7.0
SLC66A1	chr1:19324762-19325526	2.0	4.0
MICOS10	chr1:19597853-19622100	0.0	3.0
MICOS10	chr1:19597678-19622100	0.0	3.0
OTUD3	chr1:19882720-19890385	1.0	6.0
ENSG00000289694	chr1:22078881-22081722	0.0	4.0
CDC42	chr1:22078583-22078706	1.0	3.0
RPL11	chr1:23692060-23692609	0.0	5.0
RPL11	chr1:23692759-23693811	2.0	3.0
ELOA	chr1:23744270-23749021	0.0	5.0
SRRM1	chr1:24647149-24648859	2.0	15.0
SRRM1	chr1:24653032-24654306	8.0	9.0
SRRM1	chr1:24647208-24648859	2.0	15.0
MACO1	chr1:25489293-25491346	7.0	1.0
MACO1	chr1:25458892-25484127	6.0	4.0
LDLRAP1	chr1:25554020-25554860	2.0	6.0
MTFR1L	chr1:25823323-25823644	0.0	4.0
MTFR1L	chr1:25823128-25823238	1.0	3.0
MTFR1L	chr1:25823128-25823218	1.0	3.0
MTFR1L	chr1:25823128-25823346	1.0	3.0
CEP85	chr1:26274612-26274964	0.0	9.0
CEP85	chr1:26269364-26269460	6.0	6.0
CEP85	chr1:26272071-26274534	10.0	2.0
CD52	chr1:26318640-26320171	0.0	1.0
CD52	chr1:26319007-26320171	0.0	1.0
DHDDS	chr1:26438284-26442335	2.0	3.0
DHDDS	chr1:26438284-26441599	2.0	1.0
DHDDS	chr1:26438284-26442708	2.0	3.0
DHDDS	chr1:26433008-26438172	1.0	1.0
DHDDS	chr1:26447660-26453481	1.0	3.0
HMGN2	chr1:26472627-26473460	1.0	4.0
HMGN2	chr1:26473817-26474085	2.0	3.0
RPS6KA1	chr1:26551723-26552818	6.0	15.0
RPS6KA1	chr1:26544074-26546867	0.0	20.0
RPS6KA1	chr1:26555625-26556076	11.0	10.0
RPS6KA1	chr1:26556163-26556654	10.0	11.0
RPS6KA1	chr1:26530902-26536925	0.0	21.0
RPS6KA1	chr1:26551723-26552507	5.0	15.0
ARID1A	chr1:26773898-26774116	0.0	4.0
ARID1A	chr1:26775956-26779023	17.0	1.0
ARID1A	chr1:26772987-26773376	0.0	4.0
ARID1A	chr1:26775707-26775817	0.0	2.0
ARID1A	chr1:26773898-26775577	0.0	4.0
ARID1A	chr1:26774203-26774329	15.0	3.0
PIGV	chr1:26794206-26794803	2.0	1.0
NUDC	chr1:26943761-26945390	5.0	3.0
TMEM222	chr1:27331137-27332070	1.0	4.0
TMEM222	chr1:27334754-27335379	4.0	1.0
THEMIS2	chr1:27880054-27882513	3.0	2.0
THEMIS2	chr1:27876733-27879644	2.0	4.0
THEMIS2	chr1:27876728-27879949	2.0	4.0
THEMIS2	chr1:27872640-27876588	1.0	1.0
XKR8	chr1:27964235-27965351	0.0	1.0
SESN2	chr1:28271871-28272318	4.0	5.0
PHACTR4	chr1:28457859-28459085	2.0	3.0
PHACTR4	chr1:28439361-28457832	0.0	3.0
PHACTR4	chr1:28489894-28490951	8.0	4.0
RCC1	chr1:28535380-28535610	5.0	3.0
RCC1	chr1:28535656-28535871	4.0	4.0
TRNAU1AP	chr1:28553311-28553640	0.0	8.0
TRNAU1AP	chr1:28553307-28553640	0.0	8.0
TRNAU1AP	chr1:28561260-28561346	2.0	6.0
TRNAU1AP	chr1:28560732-28561113	3.0	5.0
TRNAU1AP	chr1:28560732-28560868	3.0	5.0
YTHDF2	chr1:28737797-28738259	2.0	2.0
EPB41	chr1:29031913-29033093	0.0	9.0
EPB41	chr1:29035283-29035826	0.0	9.0
EPB41	chr1:29065158-29065684	0.0	9.0
EPB41	chr1:29065825-29068733	14.0	2.0
EPB41	chr1:29033245-29035006	8.0	7.0
EPB41	chr1:29030487-29031788	0.0	7.0
SERINC2	chr1:31427351-31428978	5.0	4.0
KHDRBS1	chr1:32038119-32038552	5.0	3.0
TMEM39B	chr1:32073872-32074951	0.0	4.0
TMEM39B	chr1:32076846-32077243	4.0	4.0
TMEM39B	chr1:32095762-32100442	6.0	2.0
TMEM39B	chr1:32075822-32076564	3.0	1.0
TMEM39B	chr1:32075077-32075667	2.0	2.0
TMEM39B	chr1:32073098-32074951	1.0	3.0
TMEM39B	chr1:32075822-32076132	3.0	5.0
TMEM39B	chr1:32076254-32076763	2.0	6.0
KPNA6	chr1:32159531-32160619	6.0	7.0
KPNA6	chr1:32108134-32154590	1.0	12.0
KPNA6	chr1:32157038-32157346	2.0	11.0
TXLNA	chr1:32188124-32190059	4.0	5.0
CCDC28B	chr1:32204045-32204233	2.0	2.0
EIF3I	chr1:32226320-32228499	5.0	4.0
EIF3I	chr1:32224475-32226105	4.0	6.0
EIF3I	chr1:32226283-32226403	5.0	5.0
EIF3I	chr1:32224475-32226149	4.0	6.0
EIF3I	chr1:32229024-32229135	7.0	3.0
LCK	chr1:32276047-32276337	6.0	5.0
LCK	chr1:32274818-32275321	2.0	8.0
LCK	chr1:32275672-32275949	5.0	6.0
HDAC1	chr1:32327458-32327536	4.0	9.0
HDAC1	chr1:32324553-32326943	4.0	9.0
HDAC1	chr1:32327077-32327406	5.0	8.0
RBBP4	chr1:32651654-32651914	0.0	2.0
ZMYM4	chr1:35397123-35397377	18.0	11.0
ZMYM4	chr1:35396670-35397052	19.0	10.0
ZMYM4	chr1:35362266-35370029	4.0	25.0
NCDN	chr1:35558484-35559107	0.0	6.0
NCDN	chr1:35562633-35562792	4.0	2.0
AGO1	chr1:35893278-35893592	4.0	14.0
AGO1	chr1:35888610-35892528	3.0	15.0
AGO1	chr1:35917727-35917947	16.0	2.0
AGO1	chr1:35918070-35918322	15.0	3.0
MAP7D1	chr1:36177574-36177873	7.0	9.0
THRAP3	chr1:36294241-36296583	5.0	4.0
SH3D21	chr1:36308475-36309292	9.0	6.0
SH3D21	chr1:36307963-36308389	2.0	4.0
SH3D21	chr1:36308475-36309511	10.0	5.0
SH3D21	chr1:36319312-36319675	5.0	1.0
ZC3H12A	chr1:37481835-37482350	3.0	1.0
MACF1	chr1:39327353-39328601	0.0	70.0
PPIE	chr1:39742031-39743216	4.0	5.0
PPIE	chr1:39739293-39740165	0.0	9.0
PPIE	chr1:39738923-39740165	1.0	8.0
MFSD2A	chr1:39957960-39958701	1.0	12.0
RLF	chr1:40195764-40201928	4.0	3.0
ZMPSTE24	chr1:40272035-40281365	6.0	3.0
ZMPSTE24	chr1:40260985-40267391	2.0	4.0
SMAP2	chr1:40374223-40406800	1.0	8.0
CTPS1	chr1:41006094-41007456	12.0	4.0
CTPS1	chr1:40997526-40999830	0.0	2.0
CTPS1	chr1:40997526-41000435	8.0	8.0
CTPS1	chr1:41001584-41002160	8.0	8.0
CTPS1	chr1:40997526-41000973	8.0	8.0
CTPS1	chr1:41008714-41008771	14.0	2.0
PPCS	chr1:42457567-42459603	0.0	1.0
CCDC30	chr1:42611090-42630404	1.0	15.0
CCDC30	chr1:42556405-42558139	1.0	15.0
CCDC30	chr1:42536601-42537192	0.0	5.0
CCDC30	chr1:42498916-42506947	0.0	5.0
CCDC30	chr1:42589483-42590295	1.0	15.0
CCDC30	chr1:42589483-42590315	1.0	15.0
CCDC30	chr1:42558276-42566296	0.0	6.0
CCDC30	chr1:42545579-42566296	0.0	6.0
CCDC30	chr1:42498916-42534889	0.0	5.0
CCDC30	chr1:42498916-42529602	0.0	5.0
CCDC30	chr1:42507069-42566296	0.0	6.0
CCDC30	chr1:42577229-42581427	7.0	8.0
CCDC30	chr1:42577229-42580832	7.0	8.0
CCDC30	chr1:42639415-42642473	1.0	15.0
CCDC30	chr1:42498916-42521163	0.0	5.0
CCDC30	chr1:42637378-42639225	1.0	15.0
CCDC30	chr1:42580981-42581360	0.0	6.0
CCDC30	chr1:42521256-42566296	0.0	6.0
CCDC30	chr1:42537290-42539173	5.0	14.0
CCDC30	chr1:42630525-42637237	1.0	15.0
PPIH	chr1:42658512-42658848	1.0	7.0
PPIH	chr1:42659370-42659522	2.0	6.0
PPIH	chr1:42660904-42663418	2.0	4.0
C1orf50	chr1:42767624-42773546	2.0	2.0
ERMAP	chr1:42835165-42835732	2.0	7.0
ERMAP	chr1:42835760-42837158	6.0	3.0
CFAP57	chr1:43219631-43221372	11.0	11.0
CFAP57	chr1:43222997-43224051	15.0	7.0
TIE1	chr1:43312131-43312478	12.0	10.0
SZT2	chr1:43438193-43438699	44.0	26.0
SZT2	chr1:43432359-43432517	36.0	34.0
SZT2	chr1:43426151-43426438	21.0	49.0
SZT2	chr1:43442130-43442237	55.0	15.0
SZT2	chr1:43432180-43432272	34.0	36.0
SZT2	chr1:43416004-43416535	6.0	64.0
SZT2	chr1:43430789-43430954	32.0	38.0
SZT2	chr1:43439477-43439605	48.0	22.0
SZT2	chr1:43419961-43420153	9.0	61.0
SZT2	chr1:43431901-43432062	35.0	35.0
SZT2	chr1:43422632-43422821	14.0	56.0
SZT2	chr1:43433190-43434034	39.0	31.0
KDM4A	chr1:43653799-43655591	0.0	20.0
ST3GAL3	chr1:43858308-43894383	0.0	5.0
ST3GAL3	chr1:43831794-43838219	0.0	5.0
ST3GAL3	chr1:43838311-43858135	0.0	5.0
ST3GAL3	chr1:43838311-43879027	0.0	5.0
ST3GAL3	chr1:43879507-43894383	0.0	5.0
ST3GAL3	chr1:43814933-43819114	0.0	5.0
ST3GAL3	chr1:43838311-43879335	0.0	5.0
ST3GAL3	chr1:43899289-43899541	6.0	4.0
ST3GAL3	chr1:43900833-43920404	1.0	7.0
ST3GAL3	chr1:43899727-43911875	1.0	7.0
ST3GAL3	chr1:43815004-43838219	2.0	2.0
ST3GAL3	chr1:43899263-43899509	7.0	3.0
ST3GAL3	chr1:43819236-43838219	0.0	5.0
ST3GAL3	chr1:43814933-43824832	4.0	7.0
ST3GAL3	chr1:43792149-43801282	1.0	9.0
DPH2	chr1:43970817-43970966	2.0	3.0
DPH2	chr1:43971540-43972158	4.0	1.0
DPH2	chr1:43971220-43971387	1.0	1.0
DPH2	chr1:43970314-43970596	1.0	1.0
DPH2	chr1:43970708-43970906	2.0	3.0
ATP6V0B	chr1:43975307-43975800	2.0	4.0
ATP6V0B	chr1:43975974-43976090	1.0	6.0
ATP6V0B	chr1:43975103-43975800	2.0	4.0
ATP6V0B	chr1:43975107-43975665	1.0	5.0
B4GALT2	chr1:43981473-43981733	1.0	4.0
DMAP1	chr1:44214898-44217990	3.0	6.0
DMAP1	chr1:44219477-44219780	7.0	2.0
RNF220	chr1:44632895-44635545	1.0	9.0
RNF220	chr1:44632212-44632343	2.0	6.0
