Gene_name	Intron_coord	Annot	Coding	UTR
KLHL17	chr1:964530-964962	True	True	False
KLHL17	chr1:964530-964934	False	False	False
KLHL17	chr1:964180-964348	True	True	False
KLHL17	chr1:964167-964348	True	False	False
KLHL17	chr1:964008-964106	True	True	False
KLHL17	chr1:963504-963919	True	True	False
KLHL17	chr1:963253-963336	True	True	False
KLHL17	chr1:962917-963108	True	True	False
KLHL17	chr1:962917-963031	True	False	False
KLHL17	chr1:962471-962703	True	True	False
KLHL17	chr1:962047-962354	True	True	False
KLHL17	chr1:962047-962285	False	False	False
KLHL17	chr1:961750-961825	True	True	False
KLHL17	chr1:961552-961628	True	True	False
KLHL17	chr1:960800-961292	True	True	False
ISG15	chr1:1013769-1013983	False	True	False
ISG15	chr1:1013576-1013983	True	True	False
ISG15	chr1:1008279-1013983	True	True	False
ISG15	chr1:1001281-1008193	True	True	False
ISG15	chr1:1001263-1008193	True	True	False
AGRN	chr1:1054551-1054823	True	True	False
AGRN	chr1:1053977-1054447	True	True	False
AGRN	chr1:1053493-1053752	True	True	False
AGRN	chr1:1052016-1053460	True	True	False
AGRN	chr1:1051815-1053752	True	True	False
AGRN	chr1:1051815-1053724	False	False	False
AGRN	chr1:1051815-1051992	True	True	False
AGRN	chr1:1051645-1051741	False	False	False
AGRN	chr1:1051645-1051727	True	True	False
AGRN	chr1:1051369-1051452	True	True	False
AGRN	chr1:1051043-1051252	True	True	False
AGRN	chr1:1050837-1051252	True	True	False
AGRN	chr1:1050837-1051031	True	True	False
AGRN	chr1:1050591-1050725	True	True	False
AGRN	chr1:1050329-1050426	True	True	False
AGRN	chr1:1050037-1050232	True	True	False
AGRN	chr1:1049795-1049902	True	True	False
AGRN	chr1:1049451-1049565	True	True	False
AGRN	chr1:1049059-1049235	True	True	False
AGRN	chr1:1048365-1048866	True	True	False
AGRN	chr1:1047895-1048011	True	True	False
AGRN	chr1:1047687-1047775	True	True	False
AGRN	chr1:1047454-1047572	True	True	False
AGRN	chr1:1046957-1047326	True	True	False
AGRN	chr1:1046735-1046819	True	True	False
AGRN	chr1:1046265-1046396	True	True	False
AGRN	chr1:1046088-1046159	True	True	False
AGRN	chr1:1045876-1046396	False	False	False
AGRN	chr1:1045876-1045963	True	True	False
AGRN	chr1:1045523-1045732	True	True	False
AGRN	chr1:1045277-1045358	True	True	False
AGRN	chr1:1044439-1045160	True	True	False
AGRN	chr1:1044257-1044333	True	True	False
AGRN	chr1:1044023-1044108	True	True	False
AGRN	chr1:1043732-1043822	True	True	False
AGRN	chr1:1043457-1043537	True	True	False
AGRN	chr1:1042162-1043238	True	True	False
AGRN	chr1:1041702-1041955	True	True	False
AGRN	chr1:1041397-1041477	True	True	False
AGRN	chr1:1040880-1041172	True	True	False
AGRN	chr1:1035324-1040664	True	True	False
AGRN	chr1:1034703-1035276	True	True	False
AGRN	chr1:1022462-1035276	True	True	False
AGRN	chr1:1020373-1022200	True	True	False
PUSL1	chr1:1311071-1311329	True	True	False
PUSL1	chr1:1310688-1310908	True	True	False
PUSL1	chr1:1309851-1310633	True	True	False
PUSL1	chr1:1309814-1310035	True	False	False
PUSL1	chr1:1309603-1309705	True	False	True
PUSL1	chr1:1309603-1309680	True	True	False
PUSL1	chr1:1309273-1309453	True	True	False
PUSL1	chr1:1308972-1309085	True	True	False
PUSL1	chr1:1308720-1309085	True	False	False
PUSL1	chr1:1308720-1308914	True	True	False
CPTP	chr1:1327032-1327240	True	True	False
CPTP	chr1:1325595-1326835	True	True	False
CPTP	chr1:1325102-1327240	True	False	False
CPTP	chr1:1325102-1326835	True	True	False
ATAD3B	chr1:1490671-1495484	True	True	False
ATAD3B	chr1:1490424-1490562	True	True	False
ATAD3B	chr1:1489811-1490256	True	False	False
ATAD3B	chr1:1489274-1490256	True	True	False
ATAD3B	chr1:1489274-1489691	True	False	True
ATAD3B	chr1:1487914-1489203	True	True	False
ATAD3B	chr1:1486668-1489203	True	False	True
ATAD3B	chr1:1486668-1487862	True	True	False
ATAD3B	chr1:1486235-1486543	True	True	False
ATAD3B	chr1:1485838-1486109	True	True	False
ATAD3B	chr1:1485171-1485781	True	True	False
ATAD3B	chr1:1482614-1485015	True	True	False
ATAD3B	chr1:1482303-1482544	True	True	False
ATAD3B	chr1:1480936-1482137	True	True	False
ATAD3B	chr1:1480908-1482265	True	True	False
ATAD3B	chr1:1479108-1480866	True	True	False
ATAD3B	chr1:1478745-1479048	True	True	False
ATAD3B	chr1:1478351-1478643	False	False	False
ATAD3B	chr1:1477350-1480866	True	True	False
ATAD3B	chr1:1477350-1478643	True	True	False
ATAD3B	chr1:1472089-1477273	True	True	False
ATAD3A	chr1:1529331-1533925	True	True	False
ATAD3A	chr1:1527862-1529222	True	True	False
ATAD3A	chr1:1527809-1529222	False	False	False
ATAD3A	chr1:1527238-1527694	True	True	False
ATAD3A	chr1:1526531-1527694	True	True	False
ATAD3A	chr1:1526531-1527160	True	True	False
ATAD3A	chr1:1525291-1526460	True	True	False
ATAD3A	chr1:1524397-1525239	True	True	False
ATAD3A	chr1:1523964-1524272	True	True	False
ATAD3A	chr1:1523567-1523838	True	True	False
ATAD3A	chr1:1522899-1523510	True	True	False
ATAD3A	chr1:1520617-1522743	True	True	False
ATAD3A	chr1:1520306-1522743	True	False	False
ATAD3A	chr1:1520306-1520547	True	True	False
ATAD3A	chr1:1519571-1520140	True	False	False
ATAD3A	chr1:1518990-1520140	True	True	False
ATAD3A	chr1:1518990-1519491	True	False	False
ATAD3A	chr1:1517775-1518920	True	True	False
ATAD3A	chr1:1517412-1517715	True	True	False
ATAD3A	chr1:1516088-1517310	True	True	False
ATAD3A	chr1:1516088-1517166	True	True	False
ATAD3A	chr1:1515858-1516011	False	False	True
ATAD3A	chr1:1512690-1516011	True	True	False
ATAD3A	chr1:1512473-1516011	True	True	False
MIB2	chr1:1629704-1630291	True	True	False
MIB2	chr1:1629566-1629638	True	True	False
MIB2	chr1:1629404-1629487	True	False	False
MIB2	chr1:1629311-1629638	True	True	False
MIB2	chr1:1629311-1629384	True	True	False
MIB2	chr1:1628722-1629132	True	True	False
MIB2	chr1:1628722-1629033	True	True	False
MIB2	chr1:1628399-1628488	True	True	False
MIB2	chr1:1628179-1628272	True	True	False
MIB2	chr1:1627829-1628018	True	True	False
MIB2	chr1:1627444-1627672	True	True	False
MIB2	chr1:1627207-1627295	True	True	False
MIB2	chr1:1626999-1627073	True	True	False
MIB2	chr1:1626754-1626836	True	True	False
MIB2	chr1:1625653-1626836	True	True	False
MIB2	chr1:1625653-1626649	True	True	False
MIB2	chr1:1625653-1626366	True	False	False
MIB2	chr1:1625428-1626649	True	True	False
MIB2	chr1:1625428-1625557	True	True	False
MIB2	chr1:1625428-1625545	True	True	False
MIB2	chr1:1625185-1625285	True	True	False
MIB2	chr1:1624901-1625285	True	True	False
MIB2	chr1:1624901-1624990	True	True	False
MIB2	chr1:1624901-1624964	True	False	False
MIB2	chr1:1623945-1624794	True	True	False
MIB2	chr1:1623699-1623773	True	True	False
MIB2	chr1:1623679-1623773	True	False	False
MIB2	chr1:1623482-1623773	True	False	True
MIB2	chr1:1617715-1623430	True	True	False
MIB2	chr1:1617515-1623430	True	True	False
MIB2	chr1:1616614-1623430	True	True	False
MIB2	chr1:1616614-1623388	True	True	False
MIB2	chr1:1616614-1617077	True	False	False
MIB2	chr1:1616100-1616507	True	True	False
MIB2	chr1:1615633-1616507	True	True	False
SKI	chr1:2306250-2306576	True	True	False
SKI	chr1:2304585-2306019	True	True	False
SKI	chr1:2304108-2304292	True	False	False
SKI	chr1:2304102-2304292	True	True	False
SKI	chr1:2303400-2303839	True	True	False
SKI	chr1:2303103-2303284	True	True	False
SKI	chr1:2248071-2302977	True	False	False
SKI	chr1:2232669-2302977	True	False	False
SKI	chr1:2229735-2302977	True	True	False
SKI	chr1:2227524-2302977	True	False	False
RER1	chr1:2402342-2403034	True	True	False
RER1	chr1:2400935-2402206	True	True	False
RER1	chr1:2400935-2402096	True	True	False
RER1	chr1:2399514-2400856	True	True	False
RER1	chr1:2397220-2400856	True	True	False
RER1	chr1:2397220-2399414	True	True	False
RER1	chr1:2395871-2397115	True	True	False
RER1	chr1:2395648-2395783	True	True	False
RER1	chr1:2394728-2395783	False	False	True
RER1	chr1:2393355-2395783	False	False	True
RER1	chr1:2393355-2394646	False	False	False
RER1	chr1:2393231-2395783	True	True	False
RER1	chr1:2392126-2395783	False	False	True
RER1	chr1:2392126-2393207	False	False	True
RER1	chr1:2391958-2395783	True	True	False
RER1	chr1:2391958-2395607	True	True	False
RER1	chr1:2391958-2393269	False	False	True
RER1	chr1:2391958-2393207	False	False	True
TNFRSF14	chr1:2562896-2565052	True	True	False
