Gene_name	Intron_coord	ejc_distance
KLHL17	chr1:964530-964935	-1
KLHL17	chr1:964167-964349	177
ISG15	chr1:1013769-1013984	36
PUSL1	chr1:1309603-1309706	150
DFFB	chr1:3873137-3883507	561
PARK7	chr1:7971000-7977652	60
PIK3CD	chr1:9724405-9724804	54
TNFRSF1B	chr1:12194025-12194584	144
DDI2	chr1:15651895-15656421	-1
ENSG00000289694	chr1:22086866-22091396	-1
ENSG00000289694	chr1:22086866-22091432	-1
KDM1A	chr1:23081573-23082293	45
PITHD1	chr1:23786423-23787258	-1
MACO1	chr1:25489293-25491346	225
SH3BGRL3	chr1:26280932-26281029	-1
SH3BGRL3	chr1:26280922-26281058	-1
CD52	chr1:26318640-26320171	462
CD52	chr1:26319007-26320171	831
ARID1A	chr1:26775956-26779023	195
PIGV	chr1:26794206-26794803	378
WDTC1	chr1:27303795-27305059	-1
TMEM222	chr1:27334281-27334667	-1
TMEM222	chr1:27334754-27335379	468
RCC1	chr1:28536879-28537832	-1
RBBP4	chr1:32679817-32680526	3
ZC3H12A	chr1:37481835-37482350	156
NFYC	chr1:40769415-40770323	-1
PPCS	chr1:42457567-42459603	186
SZT2	chr1:43448728-43450143	6
DMAP1	chr1:44220443-44220559	6
RPS8	chr1:44778152-44778576	-1
RPS8	chr1:44777737-44778000	129
TOE1	chr1:45342643-45342735	249
TOE1	chr1:45342643-45342739	78
MMACHC	chr1:45507550-45508214	117
AKR1A1	chr1:45569006-45569143	78
UQCRH	chr1:46309143-46310155	81
GADD45A	chr1:67686822-67687661	690
IFI44L	chr1:78641121-78641505	84
IFI44	chr1:78660691-78662704	132
RWDD3	chr1:95244651-95246542	39
RWDD3	chr1:95244324-95246542	39
TRMT13	chr1:100144143-100148093	186
PRPF38B	chr1:108696337-108697947	867
PRPF38B	chr1:108696351-108698604	216
GSTM4	chr1:109659959-109661165	684
TTF2	chr1:117097433-117098206	699
POLR3C	chr1:145840165-145840974	60
PDE4DIP	chr1:149031224-149031944	678
VPS45	chr1:150143066-150144709	105
PLEKHO1	chr1:150157015-150157372	90
C1orf54	chr1:150275799-150276527	96
PRPF3	chr1:150346501-150349157	57
TARS2	chr1:150504435-150504636	54
SCNM1	chr1:151167414-151168194	114
SCNM1	chr1:151167414-151168125	195
SCNM1	chr1:151167414-151168149	114
PIP5K1A	chr1:151240039-151242180	285
PIP5K1A	chr1:151240039-151242128	108
HAX1	chr1:154275260-154275397	33
FLAD1	chr1:154990528-154992565	228
SLC50A1	chr1:155138098-155138165	-1
SLC50A1	chr1:155138098-155138162	-1
FDPS	chr1:155319945-155320409	-1
SLC25A44	chr1:156200472-156207891	102
NCSTN	chr1:160356754-160357129	93
NDUFS2	chr1:161213946-161214156	3
NDUFS2	chr1:161214020-161214156	78
NDUFS2	chr1:161214053-161214156	111
NDUFS2	chr1:161214032-161214156	90
HSD17B7	chr1:162806290-162812298	771
MGST3	chr1:165652035-165653697	561
DARS2	chr1:173856856-173857518	90
CACNA1E	chr1:181776228-181778953	585
TMEM183A	chr1:203018561-203020801	-1
TMEM183A	chr1:203016140-203018501	147
LAX1	chr1:203771477-203771860	228
RASSF5	chr1:206584684-206585079	24
RASSF5	chr1:206584684-206585061	24
MAPKAPK2	chr1:206732084-206732575	144
MAPKAPK2	chr1:206731919-206732206	-1
MAPKAPK2	chr1:206732087-206732575	147
TRAF3IP3	chr1:209780606-209781350	75
VASH2	chr1:212972961-212973424	627
SMYD2	chr1:214334836-214336704	516
MTARC2	chr1:220780062-220780168	-1
SNAP47	chr1:227767083-227770417	-1
RNF187	chr1:228489056-228493053	-1
NTPCR	chr1:232970118-232976302	-1
LGALS8	chr1:236545293-236548012	342
DESI2	chr1:244686669-244691879	123
DESI2	chr1:244689342-244691884	99
COX20	chr1:244842058-244842199	30
SCCPDH	chr1:246764344-246766058	54
NOC2L	chr1:945422-945518	261
C1orf159	chr1:1084086-1084353	102
AURKAIP1	chr1:1374590-1374705	543
MRPL20	chr1:1406346-1406909	324
MRPL20	chr1:1402425-1405809	-1
ENO1	chr1:8861421-8862887	-1
DFFA	chr1:10461702-10462988	45
MTHFR	chr1:11791745-11792278	519
RUNX3	chr1:24907524-24919240	258
FGR	chr1:27613350-27614447	30
SNRNP40	chr1:31260121-31260955	522
PEF1	chr1:31630750-31632495	-1
BSDC1	chr1:32369338-32376262	777
ZBTB8OS	chr1:32627865-32631827	354
SFPQ	chr1:35184593-35186947	0
KIAA0319L	chr1:35435597-35441047	-1
C1orf109	chr1:37683476-37686273	129
SCMH1	chr1:41028745-41033983	39
ELOVL1	chr1:43364460-43364619	-1
ELOVL1	chr1:43364460-43364615	108
CCDC163	chr1:45495545-45496556	-1
POMGNT1	chr1:46188980-46189180	273
EPS15	chr1:51361293-51363866	102
EPS15	chr1:51356846-51360425	654
CZIB	chr1:53216056-53216778	48
USP24	chr1:55069107-55071806	0
ITGB3BP	chr1:63447614-63453918	-1
ZRANB2	chr1:71065748-71066776	-1
GNG5	chr1:84501970-84505306	513
SSX2IP	chr1:84647607-84649671	654
C1orf52	chr1:85259061-85259358	510
GBP3	chr1:89009494-89013185	96
GBP5	chr1:89260817-89262072	18
GCLM	chr1:93889159-93893889	651
DPH5	chr1:100992754-100995110	69
AKNAD1	chr1:108816302-108816874	162
DRAM2	chr1:111119681-111119877	828
RHOC	chr1:112703806-112705096	36
CD58	chr1:116519302-116521906	63
PRKAB2	chr1:147159642-147160797	873
