Gene_name	Intron_coord	Annot	Coding	UTR
NOC2L	chr1:944800-945041	True	True	False
NOC2L	chr1:944800-945056	True	True	False
NOC2L	chr1:944819-945041	False	False	False
NOC2L	chr1:944819-945056	False	False	False
NOC2L	chr1:945146-945517	True	True	False
NOC2L	chr1:945422-945517	True	False	False
NOC2L	chr1:945653-946146	False	False	False
NOC2L	chr1:945653-946172	True	True	False
NOC2L	chr1:946286-946401	True	True	False
NOC2L	chr1:946545-948130	True	True	False
NOC2L	chr1:948232-948489	True	True	False
NOC2L	chr1:948594-951126	False	True	False
NOC2L	chr1:948603-951126	True	True	False
NOC2L	chr1:951238-951999	True	True	False
NOC2L	chr1:952139-952411	True	True	False
NOC2L	chr1:952600-953174	True	True	False
NOC2L	chr1:953288-953781	True	True	False
NOC2L	chr1:953892-954003	True	True	False
NOC2L	chr1:954082-954463	False	True	False
NOC2L	chr1:954082-955922	True	True	False
NOC2L	chr1:954523-955922	True	True	False
NOC2L	chr1:956013-956094	True	True	False
NOC2L	chr1:956215-956893	True	True	False
NOC2L	chr1:957025-957098	True	True	False
NOC2L	chr1:957273-958928	True	True	False
NOC2L	chr1:959081-959214	True	True	False
HES4	chr1:999432-999525	True	True	False
HES4	chr1:999432-999532	False	True	False
HES4	chr1:999613-999691	True	True	False
HES4	chr1:999613-999865	True	True	False
HES4	chr1:999787-999865	True	True	False
C1orf159	chr1:1082253-1082603	True	False	True
C1orf159	chr1:1082987-1083293	False	False	False
C1orf159	chr1:1082987-1083914	True	True	False
C1orf159	chr1:1082987-1084352	True	True	False
C1orf159	chr1:1084011-1084352	True	True	False
C1orf159	chr1:1084016-1084352	False	True	False
C1orf159	chr1:1084086-1084352	True	False	False
C1orf159	chr1:1084383-1084480	True	True	False
C1orf159	chr1:1084506-1085250	True	True	False
C1orf159	chr1:1084506-1085877	True	True	False
C1orf159	chr1:1085310-1085877	True	True	False
C1orf159	chr1:1086012-1087138	True	True	False
C1orf159	chr1:1087204-1087497	False	True	False
C1orf159	chr1:1087204-1087501	True	True	False
C1orf159	chr1:1087204-1090352	False	True	False
