Gene_name	Intron_coord	Strand	Annot	Coding	UTR
NOC2L	chr1:959081-959215	-	True	True	False
NOC2L	chr1:957273-958929	-	True	True	False
NOC2L	chr1:957025-957099	-	True	True	False
NOC2L	chr1:956215-956894	-	True	True	False
NOC2L	chr1:956013-956095	-	True	True	False
NOC2L	chr1:954523-955923	-	True	True	False
NOC2L	chr1:954082-955923	-	True	True	False
NOC2L	chr1:954082-954464	-	False	True	False
NOC2L	chr1:953892-954004	-	True	True	False
NOC2L	chr1:953288-953782	-	True	True	False
NOC2L	chr1:952600-953175	-	True	True	False
NOC2L	chr1:952139-952412	-	True	True	False
NOC2L	chr1:951238-952000	-	True	True	False
NOC2L	chr1:948603-951127	-	True	True	False
NOC2L	chr1:948594-951127	-	False	True	False
NOC2L	chr1:948232-948490	-	True	True	False
NOC2L	chr1:946545-948131	-	True	True	False
NOC2L	chr1:946286-946402	-	True	True	False
NOC2L	chr1:945653-946173	-	True	True	False
NOC2L	chr1:945653-946147	-	False	False	False
NOC2L	chr1:945422-945518	-	True	False	False
NOC2L	chr1:945146-945518	-	True	True	False
NOC2L	chr1:944819-945057	-	False	True	False
NOC2L	chr1:944819-945042	-	False	True	False
NOC2L	chr1:944800-945057	-	True	True	False
NOC2L	chr1:944800-945042	-	True	True	False
HES4	chr1:999787-999866	-	True	True	False
HES4	chr1:999613-999866	-	True	True	False
HES4	chr1:999613-999692	-	True	True	False
HES4	chr1:999432-999533	-	False	False	False
HES4	chr1:999432-999526	-	True	True	False
C1orf159	chr1:1115075-1116060	-	True	True	True
C1orf159	chr1:1106871-1115022	-	True	True	True
C1orf159	chr1:1106049-1116060	-	True	True	True
C1orf159	chr1:1106049-1106650	-	True	True	True
C1orf159	chr1:1095124-1116060	-	False	False	True
C1orf159	chr1:1095124-1105956	-	False	False	True
C1orf159	chr1:1092103-1116060	-	True	True	True
C1orf159	chr1:1092103-1115022	-	True	True	True
C1orf159	chr1:1092103-1105956	-	True	True	True
C1orf159	chr1:1092103-1095077	-	False	False	True
C1orf159	chr1:1092103-1093598	-	False	False	True
C1orf159	chr1:1092103-1092566	-	True	True	True
C1orf159	chr1:1091609-1091991	-	True	True	True
C1orf159	chr1:1091565-1091991	-	True	True	True
C1orf159	chr1:1091374-1091472	-	True	True	False
C1orf159	chr1:1090983-1091472	-	True	True	False
C1orf159	chr1:1090983-1091278	-	False	False	False
C1orf159	chr1:1090587-1091472	-	True	False	False
C1orf159	chr1:1090428-1091472	-	True	True	False
C1orf159	chr1:1090428-1091278	-	True	True	False
C1orf159	chr1:1090428-1090876	-	True	True	False
C1orf159	chr1:1087597-1090353	-	True	True	False
C1orf159	chr1:1087204-1090353	-	False	True	False
C1orf159	chr1:1087204-1087502	-	True	True	False
C1orf159	chr1:1087204-1087498	-	False	False	False
C1orf159	chr1:1086012-1087139	-	True	True	False
C1orf159	chr1:1085310-1085878	-	True	True	False
C1orf159	chr1:1084506-1085878	-	True	True	False
C1orf159	chr1:1084506-1085251	-	True	True	False
C1orf159	chr1:1084383-1084481	-	True	True	False
C1orf159	chr1:1084086-1084353	-	True	False	False
C1orf159	chr1:1084016-1084353	-	False	True	False
C1orf159	chr1:1084011-1084353	-	True	True	False
C1orf159	chr1:1082987-1084353	-	True	True	False
C1orf159	chr1:1082987-1083915	-	True	True	False
C1orf159	chr1:1082987-1083294	-	False	False	False
C1orf159	chr1:1082253-1082604	-	True	False	True
TNFRSF18	chr1:1205528-1206385	-	False	True	True
TNFRSF18	chr1:1205492-1206385	-	True	True	True
TNFRSF18	chr1:1205451-1206385	-	False	False	False
TNFRSF18	chr1:1204590-1205370	-	False	True	False
TNFRSF18	chr1:1204486-1205370	-	True	True	False
TNFRSF18	chr1:1204316-1205370	-	False	True	False
TNFRSF18	chr1:1204236-1205370	-	False	False	False
TNFRSF18	chr1:1204236-1204399	-	True	True	False
TNFRSF18	chr1:1204168-1204399	-	False	True	False
TNFRSF18	chr1:1203968-1204055	-	True	True	False
TNFRSF18	chr1:1203968-1204034	-	True	True	False
TNFRSF18	chr1:1203960-1204399	-	True	True	False
TNFRSF4	chr1:1213785-1213983	-	True	True	False
TNFRSF4	chr1:1213093-1213775	-	True	True	False
TNFRSF4	chr1:1213093-1213706	-	True	True	False
TNFRSF4	chr1:1213093-1213663	-	True	True	False
TNFRSF4	chr1:1213093-1213395	-	True	False	False
TNFRSF4	chr1:1212704-1212992	-	True	True	False
TNFRSF4	chr1:1212704-1212862	-	True	True	False
TNFRSF4	chr1:1212138-1212992	-	True	True	False
TNFRSF4	chr1:1212138-1212862	-	True	True	False
TNFRSF4	chr1:1212138-1212638	-	True	True	False
TNFRSF4	chr1:1211832-1212992	-	True	True	False
TNFRSF4	chr1:1211832-1212638	-	True	True	False
TNFRSF4	chr1:1211832-1212080	-	True	True	False
TNFRSF4	chr1:1211832-1211942	-	True	True	False
TNFRSF4	chr1:1211625-1211942	-	True	True	False
TNFRSF4	chr1:1211625-1211704	-	True	True	False
SDF4	chr1:1228946-1231892	-	True	True	True
SDF4	chr1:1228946-1231507	-	False	False	True
SDF4	chr1:1227319-1228468	-	True	False	False
SDF4	chr1:1223968-1228468	-	True	True	False
SDF4	chr1:1223357-1223832	-	True	True	False
SDF4	chr1:1219005-1223244	-	True	True	False
SDF4	chr1:1218943-1223244	-	True	False	False
SDF4	chr1:1218927-1223244	-	True	True	False
SDF4	chr1:1218633-1218769	-	True	True	False
SDF4	chr1:1217804-1218458	-	True	True	False
SDF4	chr1:1217688-1218458	-	True	True	False
C1QTNF12	chr1:1244497-1246514	-	True	True	False
C1QTNF12	chr1:1244275-1244381	-	True	True	False
C1QTNF12	chr1:1244105-1244191	-	True	True	False
C1QTNF12	chr1:1243552-1243954	-	True	True	False
C1QTNF12	chr1:1243166-1243444	-	False	True	False
C1QTNF12	chr1:1243152-1243444	-	True	True	False
C1QTNF12	chr1:1242913-1243062	-	True	True	False
C1QTNF12	chr1:1242646-1242835	-	True	True	False
UBE2J2	chr1:1271637-1273666	-	True	True	True
UBE2J2	chr1:1267992-1273666	-	True	True	True
UBE2J2	chr1:1267992-1273499	-	True	True	True
UBE2J2	chr1:1267992-1273377	-	True	True	True
UBE2J2	chr1:1267992-1272853	-	True	True	True
UBE2J2	chr1:1267992-1271510	-	True	True	True
UBE2J2	chr1:1266290-1267862	-	True	False	True
UBE2J2	chr1:1266290-1267733	-	True	False	True
UBE2J2	chr1:1264830-1267862	-	True	True	True
UBE2J2	chr1:1263386-1273666	-	True	True	True
UBE2J2	chr1:1263386-1267862	-	True	True	True
UBE2J2	chr1:1263386-1267733	-	True	True	True
UBE2J2	chr1:1263386-1266098	-	True	False	True
UBE2J2	chr1:1263386-1264783	-	True	True	True
UBE2J2	chr1:1262390-1263346	-	True	False	True
UBE2J2	chr1:1257310-1273499	-	True	False	True
UBE2J2	chr1:1257310-1263346	-	True	True	True
UBE2J2	chr1:1257310-1262269	-	True	False	True
UBE2J2	chr1:1257310-1262170	-	True	False	True
UBE2J2	chr1:1257130-1263346	-	True	True	True
UBE2J2	chr1:1257130-1257208	-	True	True	True
UBE2J2	chr1:1256125-1256992	-	True	True	False
UBE2J2	chr1:1255487-1256045	-	True	True	False
ACAP3	chr1:1307383-1307769	-	True	False	True
ACAP3	chr1:1307156-1307769	-	True	False	True
ACAP3	chr1:1304143-1309442	-	True	False	True
ACAP3	chr1:1304143-1309254	-	False	False	True
ACAP3	chr1:1304143-1307769	-	True	True	True
ACAP3	chr1:1304143-1307337	-	True	False	True
ACAP3	chr1:1304143-1307072	-	True	False	True
ACAP3	chr1:1304143-1305354	-	False	False	True
ACAP3	chr1:1304143-1304539	-	False	False	True
ACAP3	chr1:1303281-1304086	-	True	True	True
ACAP3	chr1:1302975-1304086	-	False	True	False
ACAP3	chr1:1302975-1303162	-	True	True	False
ACAP3	chr1:1302975-1303132	-	False	True	False
ACAP3	chr1:1302046-1302922	-	True	True	False
ACAP3	chr1:1300930-1301988	-	False	False	False
ACAP3	chr1:1300692-1301988	-	True	True	False
ACAP3	chr1:1300202-1300509	-	True	True	False
