Gene_name	Intron_coord	distance_from_start
NOC2L	chr1:945653-946147	1956
NOC2L	chr1:945422-945518	2157
HES4	chr1:999432-999533	435
C1orf159	chr1:1082987-1083294	645
C1orf159	chr1:1090587-1091472	105
C1orf159	chr1:1087204-1087498	363
C1orf159	chr1:1084086-1084353	570
C1orf159	chr1:1091374-1091472	297
TNFRSF18	chr1:1205451-1206385	192
TNFRSF4	chr1:1213093-1213395	549
SDF4	chr1:1218943-1223244	744
ACAP3	chr1:1304143-1307337	339
ACAP3	chr1:1293911-1294090	2334
ACAP3	chr1:1297933-1298030	1020
ACAP3	chr1:1298113-1298185	1146
ACAP3	chr1:1304143-1307072	339
ACAP3	chr1:1300068-1300154	708
ACAP3	chr1:1298113-1298303	1008
ACAP3	chr1:1300930-1301988	360
ACAP3	chr1:1293929-1294090	2265
INTS11	chr1:1319843-1320456	228
INTS11	chr1:1319885-1320456	270
INTS11	chr1:1321984-1322892	189
DVL1	chr1:1340173-1340247	849
DVL1	chr1:1340152-1340247	828
AURKAIP1	chr1:1374590-1374705	99
CCNL2	chr1:1391575-1392790	711
CCNL2	chr1:1388743-1390230	1092
CCNL2	chr1:1390865-1392790	663
CCNL2	chr1:1391575-1392679	681
CCNL2	chr1:1390865-1392679	663
MRPL20	chr1:1406346-1406909	411
MRPL20	chr1:1405886-1406226	447
MRPL20	chr1:1402425-1405809	315
CDK11B	chr1:1642508-1649499	621
CDK11A	chr1:1705732-1707525	1122
NADK	chr1:1756608-1756779	471
GNB1	chr1:1787600-1789053	921
GNB1	chr1:1815862-1817687	111
MORN1	chr1:2385158-2385807	483
MORN1	chr1:2389996-2391433	144
PEX10	chr1:2407960-2408452	243
PEX10	chr1:2406895-2408456	630
PEX10	chr1:2408858-2410261	399
PEX10	chr1:2410868-2412391	222
PEX10	chr1:2408858-2409678	441
PANK4	chr1:2511383-2511628	1827
PANK4	chr1:2514466-2515258	1398
PANK4	chr1:2521800-2525601	258
PANK4	chr1:2509060-2509157	2112
PANK4	chr1:2515401-2515562	15
PANK4	chr1:2510748-2511338	1848
PANK4	chr1:2509452-2509862	2238
MEGF6	chr1:3497441-3498371	3900
MEGF6	chr1:3514668-3515402	510
MEGF6	chr1:3514650-3515402	492
MEGF6	chr1:3497411-3498371	3870
MEGF6	chr1:3497621-3498371	4080
WRAP73	chr1:3631657-3632023	1062
LRRC47	chr1:3782763-3783770	1380
LRRC47	chr1:3783911-3783996	63
CEP104	chr1:3826744-3828885	2163
CEP104	chr1:3828971-3829133	1989
CEP104	chr1:3836692-3837288	1146
CEP104	chr1:3848085-3848608	318
CEP104	chr1:3835092-3836915	1272
CEP104	chr1:3835092-3836789	1272
CEP104	chr1:3848781-3851686	117
CEP104	chr1:3842067-3844907	669
NPHP4	chr1:5877298-5879526	2652
NPHP4	chr1:5877298-5879346	2652
NPHP4	chr1:5865215-5866373	3678
NPHP4	chr1:5867115-5867736	3501
NPHP4	chr1:5904746-5905292	2037
NPHP4	chr1:5969259-5977439	429
NPHP4	chr1:5905475-5905632	1830
NPHP4	chr1:5864517-5864920	3843
NPHP4	chr1:5888610-5890868	30
NPHP4	chr1:5865110-5866373	3651
CHD5	chr1:6127164-6128046	4122
CHD5	chr1:6129069-6130148	3486
CHD5	chr1:6115678-6121105	30
CHD5	chr1:6113416-6121105	5073
CHD5	chr1:6112998-6113311	30
CHD5	chr1:6126746-6127083	30
ACOT7	chr1:6282888-6294864	741
HES2	chr1:6413282-6419241	330
TNFRSF25	chr1:6463560-6464375	567
TNFRSF25	chr1:6462174-6462319	711
DNAJC11	chr1:6638619-6639902	1260
DNAJC11	chr1:6644669-6645041	1014
DNAJC11	chr1:6653387-6653911	618
DNAJC11	chr1:6645950-6651529	735
DNAJC11	chr1:6644674-6644969	984
DNAJC11	chr1:6654287-6667709	408
DNAJC11	chr1:6637504-6638083	1491
UTS2	chr1:7853118-7853307	177
ERRFI1	chr1:8015400-8015495	159
SLC2A5	chr1:9058250-9069182	222
SLC2A5	chr1:9038929-9039056	1203
GPR157	chr1:9104634-9105173	849
CLSTN1	chr1:9735133-9735467	1965
CLSTN1	chr1:9730705-9731142	2820
CLSTN1	chr1:9733546-9734006	2358
CLSTN1	chr1:9747012-9749461	72
CLSTN1	chr1:9744643-9746889	72
CLSTN1	chr1:9735726-9735885	1839
LZIC	chr1:9932898-9934772	342
DFFA	chr1:10461702-10462988	807
DFFA	chr1:10463209-10463531	570
CASZ1	chr1:10658576-10659935	1128
SRM	chr1:11059380-11059777	282
EXOSC10	chr1:11080514-11080764	1590
EXOSC10	chr1:11091597-11095416	582
EXOSC10	chr1:11076948-11077330	1992
EXOSC10	chr1:11081238-11082534	1299
MTOR	chr1:11129887-11130529	75
MTOR	chr1:11213566-11216144	3174
MTOR	chr1:11144848-11144968	4560
MTOR	chr1:11117086-11121095	75
MTOR	chr1:11127806-11128042	75
MAD2L2	chr1:11677614-11680372	162
MAD2L2	chr1:11676109-11676848	354
MTHFR	chr1:11791745-11792278	1650
MTHFR	chr1:11801416-11802881	291
MTHFR	chr1:11800322-11801105	540
MTHFR	chr1:11791326-11791637	1698
MTHFR	chr1:11794477-11794729	1167
CASP9	chr1:15507907-15518250	288
CASP9	chr1:15507133-15507873	465
CASP9	chr1:15493985-15495273	1146
ZBTB17	chr1:15943715-15944300	138
ARHGEF19	chr1:16205248-16205351	1668
ARHGEF19	chr1:16202540-16204759	1935
ARHGEF19	chr1:16205567-16205931	1491
FBXO42	chr1:16253181-16253635	903
FBXO42	chr1:16253152-16253556	879
SPATA21	chr1:16399521-16400482	330
SPATA21	chr1:16405104-16408498	738
NBPF1	chr1:16569311-16573142	2490
ATP13A2	chr1:17005067-17005374	324
ATP13A2	chr1:16990350-16991734	2247
ENSG00000288636	chr1:17005152-17005374	327
SDHB	chr1:17022730-17023094	711
