Gene_name	Intron_coord	Annot	Coding	UTR
NOC2L	chr1:944800-945041	True	True	False
NOC2L	chr1:944800-945042	False	False	False
NOC2L	chr1:944800-945056	True	True	False
NOC2L	chr1:944800-945057	False	False	False
NOC2L	chr1:944819-945042	False	True	False
NOC2L	chr1:944819-945057	False	True	False
NOC2L	chr1:945146-945517	True	True	False
NOC2L	chr1:945422-945517	True	False	False
NOC2L	chr1:945653-946147	False	False	False
NOC2L	chr1:945653-946172	True	True	False
NOC2L	chr1:945653-946173	False	False	False
NOC2L	chr1:946286-946401	True	True	False
NOC2L	chr1:946545-948130	True	True	False
NOC2L	chr1:948232-948489	True	True	False
NOC2L	chr1:948594-951127	False	True	False
NOC2L	chr1:948603-951126	True	True	False
NOC2L	chr1:948603-951127	False	True	False
NOC2L	chr1:951238-951999	True	True	False
NOC2L	chr1:952139-952411	True	True	False
NOC2L	chr1:952600-953174	True	True	False
NOC2L	chr1:953288-953781	True	True	False
NOC2L	chr1:953892-954003	True	True	False
NOC2L	chr1:954082-954464	False	True	False
NOC2L	chr1:954082-955922	True	True	False
NOC2L	chr1:954082-955923	False	False	False
NOC2L	chr1:954523-955922	True	False	False
NOC2L	chr1:954523-955923	False	True	False
NOC2L	chr1:956013-956094	True	True	False
NOC2L	chr1:956215-956893	True	True	False
NOC2L	chr1:957025-957098	True	True	False
NOC2L	chr1:957273-958928	True	True	False
NOC2L	chr1:959081-959214	True	True	False
HES4	chr1:999432-999525	True	True	False
HES4	chr1:999432-999526	False	True	False
HES4	chr1:999432-999533	False	False	False
HES4	chr1:999613-999691	True	True	False
HES4	chr1:999613-999692	False	True	False
HES4	chr1:999613-999865	True	True	False
HES4	chr1:999613-999866	False	True	False
HES4	chr1:999787-999865	True	True	False
HES4	chr1:999787-999866	False	True	False
C1orf159	chr1:1082253-1082603	True	False	True
C1orf159	chr1:1082987-1083294	False	False	False
C1orf159	chr1:1082987-1083914	True	True	False
C1orf159	chr1:1082987-1083915	False	True	False
C1orf159	chr1:1082987-1084352	True	True	False
C1orf159	chr1:1082987-1084353	False	True	False
C1orf159	chr1:1084011-1084352	True	True	False
C1orf159	chr1:1084016-1084353	False	True	False
C1orf159	chr1:1084086-1084352	True	False	False
C1orf159	chr1:1084086-1084353	False	True	False
C1orf159	chr1:1084383-1084480	True	True	False
C1orf159	chr1:1084506-1085250	True	True	False
C1orf159	chr1:1084506-1085251	False	True	False
C1orf159	chr1:1084506-1085877	True	True	False
C1orf159	chr1:1084506-1085878	False	False	False
C1orf159	chr1:1085310-1085877	True	True	False
C1orf159	chr1:1085310-1085878	False	True	False
C1orf159	chr1:1086012-1087138	True	True	False
C1orf159	chr1:1087204-1087498	False	True	False
C1orf159	chr1:1087204-1087501	True	True	False
C1orf159	chr1:1087204-1087502	False	False	False
C1orf159	chr1:1087204-1090353	False	True	False
C1orf159	chr1:1087597-1090352	True	True	False
C1orf159	chr1:1087597-1090353	False	True	False
C1orf159	chr1:1090428-1090875	True	True	False
C1orf159	chr1:1090428-1090876	False	False	False
C1orf159	chr1:1090428-1091277	True	True	False
C1orf159	chr1:1090428-1091278	False	True	False
C1orf159	chr1:1090428-1091471	True	True	False
C1orf159	chr1:1090428-1091472	False	True	False
C1orf159	chr1:1090587-1091471	True	False	True
C1orf159	chr1:1090587-1091472	False	False	True
C1orf159	chr1:1090983-1091278	False	True	False
C1orf159	chr1:1090983-1091471	True	True	False
C1orf159	chr1:1090983-1091472	False	True	False
C1orf159	chr1:1091374-1091471	True	True	False
C1orf159	chr1:1091374-1091472	False	True	False
C1orf159	chr1:1091565-1091990	True	True	False
C1orf159	chr1:1091565-1091991	False	False	True
C1orf159	chr1:1091609-1091990	True	True	False
C1orf159	chr1:1091609-1091991	False	False	True
C1orf159	chr1:1092103-1092565	True	True	False
C1orf159	chr1:1092103-1092566	False	False	False
C1orf159	chr1:1092103-1093598	False	False	False
C1orf159	chr1:1092103-1095077	False	False	False
C1orf159	chr1:1092103-1105955	True	True	False
C1orf159	chr1:1092103-1105956	False	False	True
C1orf159	chr1:1092103-1115021	True	True	False
C1orf159	chr1:1092103-1116059	True	True	False
C1orf159	chr1:1092103-1116060	False	False	True
C1orf159	chr1:1095124-1105956	False	False	True
C1orf159	chr1:1095124-1116060	False	False	True
C1orf159	chr1:1106049-1106649	True	True	False
C1orf159	chr1:1106049-1116059	True	True	False
C1orf159	chr1:1106049-1116060	False	False	True
C1orf159	chr1:1106871-1115021	True	True	False
C1orf159	chr1:1115075-1116059	True	True	False
TNFRSF18	chr1:1203960-1204398	True	True	False
TNFRSF18	chr1:1203968-1204033	True	True	False
TNFRSF18	chr1:1203968-1204034	False	True	False
TNFRSF18	chr1:1203968-1204054	True	True	False
TNFRSF18	chr1:1203968-1204055	False	True	False
TNFRSF18	chr1:1204168-1204399	False	True	False
