Gene_name	Intron_coord	Exons_before	Exons_after
NOC2L	chr1:945653-946147	16.0	2.0
NOC2L	chr1:945422-945518	17.0	1.0
C1orf159	chr1:1082987-1083294	7.0	1.0
C1orf159	chr1:1090587-1091472	1.0	6.0
C1orf159	chr1:1087204-1087498	4.0	3.0
C1orf159	chr1:1084086-1084353	7.0	1.0
C1orf159	chr1:1090983-1091278	0.0	8.0
TNFRSF18	chr1:1205451-1206385	1.0	3.0
TNFRSF4	chr1:1213093-1213395	2.0	3.0
SDF4	chr1:1218943-1223244	4.0	1.0
UBE2J2	chr1:1257310-1262170	2.0	1.0
ACAP3	chr1:1304143-1307337	0.0	23.0
ACAP3	chr1:1297933-1298030	13.0	10.0
ACAP3	chr1:1298113-1298185	12.0	11.0
ACAP3	chr1:1304143-1307072	0.0	23.0
ACAP3	chr1:1300068-1300154	8.0	15.0
ACAP3	chr1:1298113-1298303	12.0	11.0
ACAP3	chr1:1300930-1301988	5.0	18.0
ACAP3	chr1:1293929-1294090	22.0	1.0
INTS11	chr1:1319843-1320456	3.0	13.0
INTS11	chr1:1319885-1320456	3.0	13.0
INTS11	chr1:1321984-1323181	2.0	1.0
INTS11	chr1:1319705-1320456	3.0	13.0
INTS11	chr1:1321093-1322892	1.0	2.0
INTS11	chr1:1319433-1320456	3.0	13.0
INTS11	chr1:1320682-1320996	2.0	14.0
DVL1	chr1:1340173-1340247	7.0	7.0
DVL1	chr1:1340152-1340247	7.0	7.0
AURKAIP1	chr1:1374590-1374705	1.0	1.0
CCNL2	chr1:1388743-1390230	8.0	2.0
CCNL2	chr1:1390865-1392790	4.0	6.0
CCNL2	chr1:1391575-1392679	5.0	1.0
CCNL2	chr1:1390865-1392679	4.0	6.0
MRPL20	chr1:1406346-1406909	2.0	1.0
MRPL20	chr1:1405886-1406226	1.0	2.0
CDK11B	chr1:1642508-1649499	4.0	1.0
CDK11A	chr1:1705732-1707525	11.0	7.0
NADK	chr1:1756608-1756739	2.0	8.0
GNB1	chr1:1815862-1817687	1.0	7.0
MORN1	chr1:2385158-2385807	5.0	1.0
MORN1	chr1:2389996-2391433	1.0	12.0
PEX10	chr1:2407960-2408452	2.0	3.0
PEX10	chr1:2406895-2408456	3.0	2.0
PEX10	chr1:2408858-2410261	2.0	3.0
PEX10	chr1:2410868-2412391	1.0	4.0
PEX10	chr1:2408858-2409678	1.0	4.0
