Gene_name	Intron_coord	ejc_distance
NOC2L	chr1:945422-945518	261
HES4	chr1:999432-999533	-1
C1orf159	chr1:1082987-1083294	573
C1orf159	chr1:1084086-1084353	102
ACAP3	chr1:1293911-1294090	3
ACAP3	chr1:1293929-1294090	90
AURKAIP1	chr1:1374590-1374705	543
MRPL20	chr1:1406346-1406909	324
MRPL20	chr1:1402425-1405809	-1
GNB1	chr1:1787600-1789053	-1
PANK4	chr1:2509060-2509157	699
PANK4	chr1:2509452-2509862	-1
HES2	chr1:6413282-6419241	177
ERRFI1	chr1:8015400-8015495	57
GPR157	chr1:9104634-9105173	255
CLSTN1	chr1:9730705-9731142	-1
DFFA	chr1:10461702-10462988	45
DFFA	chr1:10463209-10463531	111
MTHFR	chr1:11791745-11792278	519
CASP9	chr1:15493985-15495273	-1
ENSG00000288636	chr1:17005152-17005374	-1
ALDH4A1	chr1:18875254-18875382	609
RAP1GAP	chr1:21598095-21598400	18
STPG1	chr1:24358619-24360324	423
GPN2	chr1:26884315-26885973	90
SNRNP40	chr1:31260121-31260955	522
PEF1	chr1:31630750-31632495	-1
BSDC1	chr1:32369338-32376262	777
ZBTB8OS	chr1:32627865-32631827	354
KIAA0319L	chr1:35435597-35441047	-1
CLSPN	chr1:35720980-35736247	606
CLSPN	chr1:35720980-35736485	369
CLSPN	chr1:35737417-35737992	156
C1orf109	chr1:37683476-37686273	129
MTF1	chr1:37818098-37822121	657
SCMH1	chr1:41028745-41033983	39
EDN2	chr1:41479502-41480701	390
P3H1	chr1:42747408-42747723	90
P3H1	chr1:42747540-42747723	276
ELOVL1	chr1:43364460-43364619	-1
ELOVL1	chr1:43364460-43364615	108
SLC6A9	chr1:43998225-44000767	267
CCDC163	chr1:45495545-45496556	-1
CCDC17	chr1:45620433-45620528	114
POMGNT1	chr1:46188980-46189180	273
COA7	chr1:52692867-52698166	90
USP24	chr1:55069107-55071806	0
ITGB3BP	chr1:63447614-63453918	-1
ZRANB2	chr1:71065748-71066776	-1
TTLL7	chr1:83870082-83882669	264
GNG5	chr1:84501970-84505306	513
SSX2IP	chr1:84647607-84649671	654
C1orf52	chr1:85259061-85259358	510
GBP3	chr1:89009494-89013185	96
GBP1	chr1:89053468-89054584	6
GBP5	chr1:89262420-89262683	156
GBP5	chr1:89260817-89262072	18
GFI1	chr1:92476720-92478588	-1
GCLM	chr1:93889159-93893889	651
ALG14	chr1:94983633-95027129	-1
EXTL2	chr1:100874430-100876033	735
EXTL2	chr1:100874408-100876794	-1
AKNAD1	chr1:108816302-108816874	162
DRAM2	chr1:111119681-111119877	828
CD58	chr1:116519302-116521906	63
GDAP2	chr1:117878115-117881823	99
FAM72C	chr1:143964913-143968924	57
PDZK1	chr1:145671639-145672730	-1
PEX11B	chr1:145912566-145916596	165
NOTCH2NLA	chr1:146147747-146156139	153
PRKAB2	chr1:147159642-147160797	873
ENSA	chr1:150625808-150627574	153
GOLPH3L	chr1:150649227-150661814	-1
HORMAD1	chr1:150698965-150700112	-1
MRPL9	chr1:151760899-151762113	6
CRTC2	chr1:153948900-153949115	429
PBXIP1	chr1:154945676-154947417	72
SCAMP3	chr1:155256791-155257298	18
SCAMP3	chr1:155257334-155257498	18
CLK2	chr1:155263708-155263950	-1
CLK2	chr1:155263400-155263573	351
RIT1	chr1:155904498-155904731	156
RIT1	chr1:155904610-155904731	288
