Gene_name	Intron_coord	PTC_position	Exon_length
NOC2L	chr1:945653-946147	123	138
NOC2L	chr1:945422-945518	261	366
C1orf159	chr1:1082987-1083294	573	717
C1orf159	chr1:1090587-1091472	201	234
C1orf159	chr1:1087204-1087498	84	135
C1orf159	chr1:1084086-1084353	102	171
C1orf159	chr1:1090983-1091278	87	264
TNFRSF18	chr1:1205451-1206385	75	81
TNFRSF4	chr1:1213093-1213395	87	102
SDF4	chr1:1218943-1223244	162	177
UBE2J2	chr1:1257310-1262170	90	222
ACAP3	chr1:1304143-1307337	138	477
ACAP3	chr1:1297933-1298030	90	111
ACAP3	chr1:1298113-1298185	54	102
ACAP3	chr1:1304143-1307072	405	744
ACAP3	chr1:1300068-1300154	33	75
ACAP3	chr1:1298113-1298303	75	102
ACAP3	chr1:1300930-1301988	399	423
ACAP3	chr1:1293929-1294090	90	108
INTS11	chr1:1319843-1320456	519	549
INTS11	chr1:1319885-1320456	519	591
INTS11	chr1:1321984-1323181	834	987
INTS11	chr1:1319705-1320456	402	411
INTS11	chr1:1321093-1322892	234	396
INTS11	chr1:1319433-1320456	90	138
INTS11	chr1:1320682-1320996	180	225
DVL1	chr1:1340173-1340247	54	135
DVL1	chr1:1340152-1340247	54	114
AURKAIP1	chr1:1374590-1374705	543	591
CCNL2	chr1:1388743-1390230	702	789
CCNL2	chr1:1390865-1392790	600	669
CCNL2	chr1:1391575-1392679	102	126
CCNL2	chr1:1390865-1392679	711	780
MRPL20	chr1:1406346-1406909	324	537
MRPL20	chr1:1405886-1406226	432	792
CDK11B	chr1:1642508-1649499	474	603
CDK11A	chr1:1705732-1707525	117	123
NADK	chr1:1756608-1756739	363	573
GNB1	chr1:1815862-1817687	135	189
MORN1	chr1:2385158-2385807	147	183
MORN1	chr1:2389996-2391433	27	72
PEX10	chr1:2407960-2408452	309	405
PEX10	chr1:2406895-2408456	141	177
PEX10	chr1:2408858-2410261	309	405
PEX10	chr1:2410868-2412391	387	498
PEX10	chr1:2408858-2409678	444	774
PANK4	chr1:2511383-2511628	0	45
PANK4	chr1:2514466-2515258	279	459
PANK4	chr1:2521800-2525601	729	987
PANK4	chr1:2509060-2509157	699	774
PANK4	chr1:2515401-2515562	162	177
PANK4	chr1:2510748-2511338	54	69
MEGF6	chr1:3497441-3498371	51	129
MEGF6	chr1:3514668-3515402	24	120
MEGF6	chr1:3514650-3515402	24	102
MEGF6	chr1:3497411-3498371	51	129
MEGF6	chr1:3497621-3498371	51	129
WRAP73	chr1:3631657-3632023	174	315
LRRC47	chr1:3782763-3783770	156	342
CEP104	chr1:3826744-3828885	369	489
CEP104	chr1:3828971-3829133	120	240
CEP104	chr1:3836692-3837288	174	198
CEP104	chr1:3848085-3848608	579	612
CEP104	chr1:3835092-3836915	222	603
CEP104	chr1:3835092-3836789	348	729
CEP104	chr1:3848781-3851686	603	720
C1orf174	chr1:3891816-3892883	96	189
C1orf174	chr1:3891057-3892741	3	255
C1orf174	chr1:3891779-3892741	3	255
NPHP4	chr1:5877298-5879526	546	714
NPHP4	chr1:5877298-5879346	726	894
NPHP4	chr1:5865215-5866373	78	114
NPHP4	chr1:5867115-5867736	60	87
NPHP4	chr1:5904746-5905292	45	132
NPHP4	chr1:5969259-5977439	681	975
NPHP4	chr1:5905475-5905632	114	186
NPHP4	chr1:5864517-5864920	153	354
NPHP4	chr1:5888610-5890868	3	33
NPHP4	chr1:5865110-5866373	0	9
CHD5	chr1:6127164-6128046	372	591
CHD5	chr1:6129069-6130148	189	81
CHD5	chr1:6115678-6121105	51	81
CHD5	chr1:6113416-6121105	345	507
CHD5	chr1:6112998-6113311	51	81
CHD5	chr1:6126746-6127083	51	81
ACOT7	chr1:6282888-6294864	156	165
HES2	chr1:6413282-6419241	177	462
TNFRSF25	chr1:6463560-6464375	462	489
TNFRSF25	chr1:6462174-6462319	210	345
DNAJC11	chr1:6638619-6639902	318	327
DNAJC11	chr1:6644669-6645041	78	114
DNAJC11	chr1:6653387-6653911	447	558
DNAJC11	chr1:6645950-6651529	129	162
DNAJC11	chr1:6644674-6644969	66	156
DNAJC11	chr1:6654287-6667709	345	375
DNAJC11	chr1:6637504-6638083	42	282
UTS2	chr1:7853120-7853307	213	222
ERRFI1	chr1:8015400-8015495	57	93
SLC2A5	chr1:9058250-9069182	132	354
SLC2A5	chr1:9038929-9039056	288	606
GPR157	chr1:9104634-9105173	255	507
CLSTN1	chr1:9735133-9735467	102	186
CLSTN1	chr1:9733546-9734006	33	144
CLSTN1	chr1:9747012-9749461	78	123
CLSTN1	chr1:9744643-9746889	78	123
CLSTN1	chr1:9735726-9735885	153	258
LZIC	chr1:9932898-9934772	78	96
DFFA	chr1:10463209-10463531	111	150
CASZ1	chr1:10658576-10659935	48	69
C1orf127	chr1:10957107-10957585	66	72
C1orf127	chr1:10957107-10957623	78	87
C1orf127	chr1:10964271-10965580	699	903
SRM	chr1:11059380-11059777	39	156
EXOSC10	chr1:11080514-11080764	12	18
EXOSC10	chr1:11091597-11095416	132	468
EXOSC10	chr1:11076948-11077330	27	105
EXOSC10	chr1:11081238-11082534	135	345
MTOR	chr1:11129887-11130529	120	150
MTOR	chr1:11213566-11216144	114	168
MTOR	chr1:11144848-11144968	192	201
MTOR	chr1:11117086-11121095	72	84
MTOR	chr1:11127806-11128042	141	183
MAD2L2	chr1:11677614-11680372	48	72
MAD2L2	chr1:11676109-11676848	42	66
MTHFR	chr1:11791745-11792278	519	537
MTHFR	chr1:11801416-11802881	201	258
MTHFR	chr1:11800322-11801105	102	111
MTHFR	chr1:11791326-11791637	573	741
MTHFR	chr1:11794477-11794729	117	120
CASP9	chr1:15507907-15518250	24	36
CASP9	chr1:15507133-15507873	222	234
ZBTB17	chr1:15947347-15948291	282	414
ZBTB17	chr1:15942901-15943064	186	372
ARHGEF19	chr1:16205248-16205351	150	162
ARHGEF19	chr1:16202540-16204759	96	126
ARHGEF19	chr1:16205567-16205931	63	75
CPLANE2	chr1:16232297-16232550	141	153
FBXO42	chr1:16253181-16253635	45	84
FBXO42	chr1:16253152-16253556	63	177
SPATA21	chr1:16399521-16400482	204	411
SPATA21	chr1:16405104-16408498	555	708
NBPF1	chr1:16569311-16573142	198	240
ATP13A2	chr1:17005067-17005374	18	54
ATP13A2	chr1:16990350-16991734	213	225
SDHB	chr1:17022730-17023094	810	981
PADI2	chr1:17074949-17075124	546	702
PADI2	chr1:17074949-17075525	144	300
ALDH4A1	chr1:18882672-18883124	882	972
ALDH4A1	chr1:18882675-18883124	882	975
ALDH4A1	chr1:18883428-18884691	633	936
ALDH4A1	chr1:18875254-18875382	609	792
ALDH4A1	chr1:18874581-18875073	303	429
UBR4	chr1:19145678-19145793	873	894
UBR4	chr1:19165776-19167022	90	123
UBR4	chr1:19099677-19100078	243	495
UBR4	chr1:19076902-19077785	144	282
UBR4	chr1:19126655-19127628	93	210
UBR4	chr1:19104886-19105048	294	300
UBR4	chr1:19122657-19122833	654	723
UBR4	chr1:19177592-19179051	114	132
UBR4	chr1:19164436-19164799	111	186
UBR4	chr1:19184075-19185099	39	60
UBR4	chr1:19151804-19152313	129	162
UBR4	chr1:19160250-19160917	12	138
UBR4	chr1:19153899-19154918	117	132
UBR4	chr1:19104666-19104753	9	81
UBR4	chr1:19122012-19122588	111	471
UBR4	chr1:19176744-19177461	117	153
UBR4	chr1:19163823-19164253	57	60
EMC1	chr1:19220810-19222624	63	129
EMC1	chr1:19244015-19244739	159	294
EMC1	chr1:19234308-19235130	57	129
EMC1	chr1:19242473-19243418	192	291
EMC1	chr1:19239302-19239695	96	291
EMC1	chr1:19219669-19220764	63	102
AKR7L	chr1:19270555-19270748	183	186
AKR7L	chr1:19269371-19270451	183	186
AKR7L	chr1:19269679-19270451	183	186
AKR7L	chr1:19268701-19270451	183	186
AKR7L	chr1:19270935-19273861	183	186
AKR7A2	chr1:19307101-19308158	183	186
MUL1	chr1:20503309-20507524	315	501
SH2D5	chr1:20724251-20724349	66	171
HP1BP3	chr1:20749975-20757166	213	252
EIF4G3	chr1:21001307-21002713	147	180
EIF4G3	chr1:21001324-21002713	117	126
EIF4G3	chr1:20895501-20899800	162	171
EIF4G3	chr1:20865262-20879282	141	147
EIF4G3	chr1:21176377-21176722	66	75
EIF4G3	chr1:20847943-20849415	81	117
ECE1	chr1:21290156-21344937	0	441
ECE1	chr1:21256138-21256688	723	903
ECE1	chr1:21279332-21289181	717	975
RAP1GAP	chr1:21649796-21651392	381	429
RAP1GAP	chr1:21598449-21599494	15	48
RAP1GAP	chr1:21606197-21607540	519	810
USP48	chr1:21704387-21705727	105	126
USP48	chr1:21756963-21757663	411	417
USP48	chr1:21729832-21736430	114	129
USP48	chr1:21756702-21756829	759	957
HNRNPR	chr1:23306503-23310828	21	48
HNRNPR	chr1:23306503-23310783	21	48
HNRNPR	chr1:23306503-23310862	21	48
E2F2	chr1:23521069-23521837	141	159
E2F2	chr1:23521071-23521839	141	159
GALE	chr1:23798225-23798615	27	108
GALE	chr1:23798484-23798615	336	366
GALE	chr1:23797107-23797695	39	69
GALE	chr1:23798230-23798311	189	420
FUCA1	chr1:23865971-23867898	420	483
FUCA1	chr1:23865625-23867724	168	561
STPG1	chr1:24382592-24383902	57	117
STPG1	chr1:24358619-24360324	423	720
STPG1	chr1:24392067-24401319	471	507
STPG1	chr1:24379823-24383867	9	135
STPG1	chr1:24370480-24373702	783	807
RSRP1	chr1:25243633-25244454	639	849
RSRP1	chr1:25243633-25244177	168	195
RSRP1	chr1:25244498-25245150	939	948
RSRP1	chr1:25244224-25244454	639	849
RSRP1	chr1:25244224-25245150	666	675
RSRP1	chr1:25245301-25245991	204	972
PAFAH2	chr1:25988327-25989452	30	96
UBXN11	chr1:26283015-26284142	135	150
UBXN11	chr1:26284211-26284362	51	69
UBXN11	chr1:26297024-26297427	24	129
UBXN11	chr1:26284482-26284750	591	792
GPN2	chr1:26886133-26888897	24	228
GPN2	chr1:26884315-26885973	90	156
GPATCH3	chr1:26892791-26893351	54	96
GPATCH3	chr1:26894410-26897090	171	636
GPATCH3	chr1:26892791-26893298	108	150
GPATCH3	chr1:26897725-26900122	339	423
SLC9A1	chr1:27102721-27103223	144	174
SLC9A1	chr1:27109777-27113791	174	252
SLC9A1	chr1:27114446-27153983	576	621
MAP3K6	chr1:27359559-27359858	54	141
WASF2	chr1:27419726-27428761	765	774
FGR	chr1:27614922-27615434	30	72
TAF12	chr1:28622165-28623942	201	252
SRSF4	chr1:29166866-29168503	120	138
